"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Line Fit Blind Min","Line Fit Blind Max","Line Fit Blind Avg","Line Fit Blind Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Hybrid Min","Hybrid Max","Hybrid Avg","Hybrid Single","Sequence",
"50","1","50","27.230001","9","0","7","2.919999","4","2","8","4.929997","4","4","6","5.600000","6","0","8","4.190001","4","92",
"51","1","51","24.830004","15","0","6","2.900000","4","2","8","5.080000","5","5","6","5.750001","5","0","7","4.239999","4","101",
"52","1","52","27.520006","16","0","7","2.970000","2","2","7","4.980001","4","5","6","5.839999","6","0","9","4.519999","3","102",
"53","1","53","25.499994","11","0","6","3.190000","4","2","8","5.060000","5","5","6","5.850000","6","0","10","4.340000","3","104",
"54","1","54","29.559999","2","0","10","2.810001","4","2","9","5.030000","3","4","6","5.790002","6","0","9","4.390000","7","107",
"55","2","55","31.840010","17","0","7","2.950000","3","2","8","5.230001","5","5","6","5.870000","6","0","10","4.349999","4","107",
"56","1","56","30.810001","54","0","6","2.930000","3","2","8","4.949998","5","2","6","5.820001","6","0","9","4.480001","3","116",
"57","2","57","28.900000","40","0","5","3.060000","2","2","9","5.000001","4","5","6","5.900000","6","0","9","4.260000","5","116",
"58","1","58","30.800001","35","0","7","3.060000","2","2","8","4.969999","5","5","6","5.920001","6","0","9","4.380000","7","116",
"59","1","59","30.500000","39","0","7","2.970000","2","2","9","4.990001","2","5","6","5.930001","6","0","8","4.289999","5","117",
"60","1","60","31.960003","10","0","6","2.790000","3","2","8","4.880002","4","5","6","5.930001","5","0","9","4.250000","3","122",
"61","1","61","27.750006","18","1","8","3.100000","3","2","9","5.220001","5","5","6","5.950000","6","0","9","4.310000","3","123",
"62","1","62","33.020000","62","0","6","3.010000","5","2","9","4.970000","5","2","6","5.950001","6","0","9","4.480001","7","127",
"63","1","63","32.149998","36","0","6","2.990000","5","2","9","5.010000","5","3","6","5.930001","6","0","10","4.740003","5","133",
"64","2","64","32.679993","5","1","6","3.149999","4","2","9","5.010000","5","3","7","5.979999","6","0","9","4.540001","5","141",
"65","1","65","35.510021","61","1","6","3.149999","4","2","8","5.019999","6","2","7","6.000000","6","0","9","4.270000","4","141",
"66","3","66","36.149998","58","0","7","2.970000","3","2","7","5.030001","5","5","7","6.050000","7","0","9","4.250000","4","144",
"67","1","67","34.749996","52","0","6","3.110000","4","2","8","5.230000","6","4","7","6.099999","6","0","9","4.520002","4","146",
"68","1","68","31.949997","68","0","5","3.190000","3","2","8","5.090000","4","6","7","6.199998","6","0","10","4.650002","3","146",
"69","2","69","36.739986","67","0","7","3.130000","4","2","9","5.100001","5","4","7","6.059999","6","0","9","4.520001","3","148",
"70","1","70","34.399994","58","0","5","3.190000","3","2","9","4.919999","5","5","7","6.199999","6","0","9","4.399998","3","156",
"71","2","71","39.609989","38","0","7","2.969999","3","2","9","5.089999","5","4","7","6.159999","6","0","10","4.620001","6","157",
"72","3","72","39.649998","39","0","7","3.210000","3","2","8","5.260001","5","4","7","6.350001","7","0","9","4.539999","3","157",
"73","1","73","36.589993","15","0","5","2.989999","2","2","10","5.370002","5","2","7","6.240000","6","0","9","4.760001","5","159",
"74","3","74","38.719990","35","0","7","3.370000","1","2","9","5.109998","5","6","7","6.270000","6","0","9","4.400001","7","160",
"75","2","75","36.030010","43","1","6","3.100001","3","2","9","5.210001","5","2","7","6.320000","6","0","9","4.690001","0","164",
"76","2","76","41.800018","23","0","7","3.050000","2","2","8","5.110002","6","5","7","6.300000","6","0","9","4.490002","5","165",
"77","1","77","39.530022","49","0","6","3.129999","3","3","8","5.250000","6","5","7","6.369998","6","0","10","4.590000","7","166",
"78","2","78","35.880009","66","0","5","3.069999","4","2","9","5.110001","4","5","7","6.440001","7","0","11","5.080000","9","170",
"79","1","79","39.650017","57","0","6","3.049999","3","2","9","5.070001","6","5","7","6.430001","7","0","10","4.470000","6","171",
"80","1","80","40.669975","33","0","7","3.200000","5","3","8","5.090001","6","1","7","6.359998","7","0","10","4.680000","5","173",
