"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Line Fit Blind Min","Line Fit Blind Max","Line Fit Blind Avg","Line Fit Blind Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Hybrid Min","Hybrid Max","Hybrid Avg","Hybrid Single","Sequence",
"50","2","50","26.310007","9","1","2","1.930000","2","3","4","3.930000","4","5","6","5.760000","5","1","3","2.880000","3","98",
"51","2","51","25.039999","12","1","2","1.960000","2","3","4","3.930000","4","5","6","5.760002","5","0","3","2.880000","3","100",
"52","4","52","24.700001","44","1","2","1.950000","2","3","4","3.970000","4","2","6","5.740003","6","1","3","2.879999","3","102",
"53","1","53","27.890003","13","1","2","1.920000","2","3","4","3.890000","4","5","6","5.779999","6","1","3","2.870000","3","104",
"54","2","53","25.159998","8","0","2","1.940000","2","3","4","3.920001","3","5","6","5.870001","5","1","3","2.890000","3","106",
"55","2","55","30.230001","25","1","2","1.930000","2","3","4","3.900000","4","3","6","5.840001","6","1","3","2.820001","3","108",
"56","2","55","28.030001","32","0","2","1.910000","2","3","4","3.960000","4","4","6","5.860000","6","1","3","2.880000","3","110",
"57","2","57","25.810003","32","1","2","1.940000","2","3","4","3.919999","4","5","6","5.900000","6","1","3","2.820000","3","112",
"58","2","58","31.359995","30","0","2","1.920000","2","3","4","3.900000","4","2","6","5.890000","6","1","3","2.840000","3","114",
"59","2","59","32.579998","56","1","2","1.910000","2","3","4","3.920000","4","3","6","5.950001","6","1","3","2.850000","3","116",
"60","2","60","33.089993","21","1","2","1.910000","2","3","4","3.950000","4","4","6","5.960000","6","1","3","2.920000","3","118",
"61","2","61","30.600004","51","1","2","1.970000","2","3","4","3.930000","4","5","6","5.990000","6","1","3","2.860000","3","120",
"62","2","62","28.710007","24","1","2","1.940000","2","3","4","3.940000","4","3","6","5.940001","6","0","3","2.830000","3","122",
"63","2","63","29.799999","37","1","2","1.960000","2","3","4","3.940000","4","4","6","5.979999","6","1","3","2.770000","3","124",
"64","2","64","33.090004","12","1","2","1.920000","2","2","4","3.940000","4","4","7","5.980000","6","1","3","2.920000","3","126",
